Points,EstimatedArea,RelativeError
100,0.972214,2.93234
600,0.923603,2.21428
1100,0.928022,1.74641
1600,1.06336,12.5822
2100,0.851844,9.81167
2600,1.03204,9.26663
3100,0.97535,3.26437
3600,0.945208,0.0731036
4100,0.920046,2.59086
4600,0.993349,5.16999
5100,0.926462,1.91154
5600,0.894089,5.33901
6100,1.0519,11.3694
6600,0.970741,2.77638
7100,0.943458,0.112142
7600,1.00803,6.72458
8100,0.962611,1.91572
8600,0.889688,5.80494
9100,0.922,2.38395
9600,0.984366,4.21899
10100,0.970288,2.72851
10600,0.964876,2.15549
11100,0.973965,3.1178
11600,0.954613,1.0689
12100,0.993104,5.1441
12600,0.927461,1.80582
13100,0.96405,2.06802
13600,0.954342,1.0402
14100,0.969456,2.64033
14600,0.94025,0.451742
15100,0.924569,2.11203
15600,0.88808,5.97527
16100,0.96074,1.71761
16600,0.955815,1.19613
17100,0.947198,0.283784
17600,0.965585,2.23052
18100,0.9373,0.76413
18600,0.944511,0.000682986
19100,0.958979,1.53116
19600,0.940964,0.376204
20100,0.93497,1.01084
20600,0.913692,3.26359
21100,0.935352,0.970313
21600,0.943857,0.0698579
22100,0.964295,2.09397
22600,0.943391,0.119199
23100,0.94612,0.169649
23600,0.949968,0.577104
24100,0.938327,0.655348
24600,0.918465,2.75823
25100,0.935804,0.922501
25600,0.916387,2.97823
26100,0.954706,1.07876
26600,0.937126,0.782516
27100,0.980106,3.76795
27600,0.986304,4.42411
28100,0.92343,2.2326
28600,0.945359,0.0890993
29100,0.952836,0.880763
29600,0.936084,0.892853
30100,0.927317,1.82102
30600,0.968719,2.56232
31100,0.957208,1.34367
31600,0.945447,0.0984386
32100,0.951618,0.751837
32600,0.923006,2.27743
33100,0.922575,2.32312
33600,0.916369,2.98015
34100,0.956533,1.27214
34600,0.938776,0.607823
35100,0.926234,1.93569
35600,0.939715,0.508381
36100,0.93047,1.4872
36600,0.926791,1.8768
37100,0.953084,0.906982
37600,0.954631,1.07079
38100,0.949503,0.527879
38600,0.940226,0.454299
39100,0.964008,2.0636
39600,0.957729,1.39875
40100,0.938756,0.609975
40600,0.938928,0.591703
41100,0.926087,1.95132
41600,0.9638,2.04157
42100,0.931108,1.41967
42600,0.979973,3.75386
43100,0.934994,1.00823
43600,0.92561,2.00181
44100,0.943113,0.148633
44600,0.946273,0.185934
45100,0.923495,2.22569
45600,0.96667,2.34544
46100,0.937627,0.729466
46600,0.92861,1.68416
47100,0.970562,2.7575
47600,0.952402,0.834764
48100,0.935225,0.983801
48600,0.936206,0.879974
49100,0.926474,1.91031
49600,0.961433,1.79095
50100,0.955137,1.12434
50600,0.952808,0.877757
51100,0.944436,0.00858869
51600,0.943198,0.139676
52100,0.944596,0.00834561
52600,0.935802,0.922735
53100,0.932666,1.25474
53600,0.952624,0.858325
54100,0.932858,1.23443
54600,0.948353,0.406157
55100,0.935689,0.934633
55600,0.950531,0.636722
56100,0.951937,0.785618
56600,0.949884,0.568165
57100,0.94446,0.00601346
57600,0.97407,3.12891
58100,0.917663,2.84321
58600,0.945337,0.0867655
59100,0.92862,1.68307
59600,0.955575,1.17074
60100,0.924493,2.12008
60600,0.926972,1.85759
61100,0.929888,1.54884
61600,0.9427,0.192396
62100,0.937615,0.730796
62600,0.961653,1.81422
63100,0.952184,0.811701
63600,0.945768,0.132446
64100,0.949615,0.53968
64600,0.938803,0.604968
65100,0.964,2.06271
65600,0.960506,1.69275
66100,0.92147,2.44008
66600,0.946667,0.227657
67100,0.95758,1.38298
67600,0.954812,1.08991
68100,0.945803,0.136082
68600,0.943444,0.113622
69100,0.960536,1.69596
69600,0.962855,1.94146
70100,0.932548,1.26719
70600,0.944397,0.0127543
71100,0.948695,0.44227
71600,0.959586,1.59536
72100,0.956302,1.24773
72600,0.938066,0.683057
73100,0.934974,1.01035
73600,0.933774,1.13741
74100,0.936395,0.859909
74600,0.950971,0.683277
75100,0.947746,0.341894
75600,0.927718,1.77859
76100,0.93031,1.50417
76600,0.951272,0.715124
77100,0.949516,0.529246
77600,0.927361,1.81635
78100,0.934371,1.07425
78600,0.943146,0.145158
79100,0.949352,0.511929
79600,0.941191,0.352189
80100,0.960562,1.69869
80600,0.935544,0.949976
81100,0.940326,0.443744
81600,0.930275,1.50788
82100,0.951846,0.775896
82600,0.958678,1.49926
83100,0.952676,0.863779
83600,0.950699,0.654526
84100,0.933718,1.14334
84600,0.935095,0.997587
85100,0.955534,1.1664
85600,0.928487,1.69721
86100,0.936645,0.833482
86600,0.939881,0.490819
87100,0.928124,1.73566
87600,0.952681,0.864288
88100,0.934473,1.06345
88600,0.955315,1.14322
89100,0.932932,1.22655
89600,0.941506,0.318764
90100,0.944374,0.0151168
90600,0.941094,0.362408
91100,0.953644,0.966339
91600,0.953746,0.97707
92100,0.944662,0.0153602
92600,0.931792,1.34725
93100,0.926161,1.94341
93600,0.959126,1.54671
94100,0.949897,0.569595
94600,0.928536,1.692
95100,0.93449,1.06157
95600,0.928688,1.67593
96100,0.950463,0.629479
96600,0.949468,0.524187
97100,0.950486,0.631994
97600,0.94243,0.221022
98100,0.950014,0.581994
98600,0.954958,1.10544
99100,0.946706,0.23179
99600,0.928972,1.64588
